name,release_date,duration,explicit,popularity,track_number,danceability,energy,s_key,loudness,mode,speechiness,acousticness,valence,tempo,album
1916,2023-04-14,216813,1,52,0,0.417,0.887,7,-6.747,1,0.0722,0.126,0.363,130.073,"Stories From The Western Front"
"Great War",2023-04-14,268266,0,39,1,0.507,0.916,0,-6.858,0,0.0482,0.000533,0.453,104.995,"Stories From The Western Front"
Hellfighters,2023-04-14,206000,0,38,2,0.556,0.968,7,-6.456,1,0.0689,0.000523,0.316,96.084,"Stories From The Western Front"
"The Price of a Mile",2023-04-14,355466,0,38,3,0.393,0.726,7,-7.672,1,0.0502,0.0417,0.428,168.169,"Stories From The Western Front"
"Fields of Verdun",2023-04-14,197413,0,37,4,0.514,0.977,2,-6.688,0,0.0992,0.00329,0.485,97.019,"Stories From The Western Front"
"Race to the Sea",2023-04-14,227000,0,36,5,0.497,0.939,7,-6.551,0,0.035,0.0298,0.518,92.01,"Stories From The Western Front"
"Devil Dogs",2023-04-14,197133,1,43,6,0.512,0.983,1,-6.687,1,0.195,0.00169,0.13,113.928,"Stories From The Western Front"
"The First Soldier",2023-01-20,244026,0,49,0,0.489,0.931,1,-7.902,0,0.0532,0.0152,0.405,95.025,"Heroes of the Great War"
"A Ghost in the Trenches",2023-01-20,205800,0,36,1,0.398,0.984,4,-6.797,0,0.156,0.0125,0.331,180.011,"Heroes of the Great War"
"Lady of the Dark",2023-01-20,183000,0,35,2,0.547,0.975,2,-6.419,1,0.0692,0.00407,0.465,109.011,"Heroes of the Great War"
"Last Dying Breath",2023-01-20,202400,0,34,3,0.464,0.961,6,-5.972,0,0.0639,0.00051,0.545,158.104,"Heroes of the Great War"
"The Unkillable Soldier",2023-01-20,251000,0,35,4,0.443,0.931,6,-7.028,0,0.0481,0.0052,0.525,154.025,"Heroes of the Great War"
"Seven Pillars of Wisdom",2023-01-20,182000,0,34,5,0.429,0.971,11,-6.348,0,0.165,0.00296,0.268,152.023,"Heroes of the Great War"
"82nd All the Way",2023-01-20,211173,0,35,6,0.483,0.962,0,-7.354,0,0.245,0.00165,0.368,162.03,"Heroes of the Great War"
"Sarajevo - Symphonic Version",2022-05-06,285000,0,32,0,0.221,0.709,7,-8.972,1,0.047,0.000195,0.126,80.128,"The Symphony To End All Wars (Symphonic Version)"
"Stormtroopers - Symphonic Version",2022-05-06,233454,0,34,1,0.388,0.926,7,-7.993,1,0.0857,0.00000234,0.0881,109.987,"The Symphony To End All Wars (Symphonic Version)"
"Dreadnought - Symphonic Version",2022-05-06,204666,0,35,2,0.324,0.879,11,-7.849,0,0.0412,0.0000411,0.369,179.874,"The Symphony To End All Wars (Symphonic Version)"
"The Unkillable Soldier - Symphonic Version",2022-05-06,216000,0,32,3,0.376,0.87,11,-7.552,0,0.054,0.00000999,0.0999,119.977,"The Symphony To End All Wars (Symphonic Version)"
"Soldier of Heaven - Symphonic Version",2022-05-06,188000,0,35,4,0.35,0.842,9,-8.434,0,0.0466,0.00000806,0.383,89.999,"The Symphony To End All Wars (Symphonic Version)"
"Hellfighters - Symphonic Version",2022-05-06,244500,0,30,5,0.325,0.872,11,-7.962,0,0.0486,0.0000263,0.257,160.088,"The Symphony To End All Wars (Symphonic Version)"
"Race to the Sea - Symphonic Version",2022-05-06,210000,0,30,6,0.352,0.725,7,-8.513,0,0.0411,0.000991,0.0997,79.98,"The Symphony To End All Wars (Symphonic Version)"
"Lady of the Dark - Symphonic Version",2022-05-06,195600,0,31,7,0.425,0.919,11,-7.939,0,0.0773,0.000421,0.342,99.957,"The Symphony To End All Wars (Symphonic Version)"
"The Valley of Death - Symphonic Version",2022-05-06,208285,0,30,8,0.312,0.757,2,-7.05,1,0.0471,0.00000322,0.244,140.048,"The Symphony To End All Wars (Symphonic Version)"
"Christmas Truce - Symphonic Version",2022-05-06,326161,0,29,9,0.369,0.75,9,-7.74,0,0.033,0.000201,0.0774,91.997,"The Symphony To End All Wars (Symphonic Version)"
"Versailles - Symphonic Version",2022-05-06,267000,0,28,10,0.24,0.679,10,-7.923,1,0.0368,0.000499,0.227,79.85,"The Symphony To End All Wars (Symphonic Version)"
"Sarajevo - History Edition",2022-03-25,277000,0,41,0,0.273,0.887,0,-7.751,0,0.0767,0.0212,0.399,81.848,"The War To End All Wars (History Edition)"
"Stormtroopers - History Edition",2022-03-25,236000,0,33,1,0.516,0.992,7,-6.317,1,0.0824,0.00113,0.115,122.029,"The War To End All Wars (History Edition)"
"Dreadnought - History Edition",2022-03-25,318500,0,32,2,0.556,0.922,6,-7.51,0,0.0443,0.0116,0.331,94.027,"The War To End All Wars (History Edition)"
"The Unkillable Soldier - History Edition",2022-03-25,267306,0,32,3,0.445,0.93,6,-7.285,0,0.0556,0.00802,0.401,154.03,"The War To End All Wars (History Edition)"
"Soldier Of Heaven - History Edition",2022-03-25,261810,0,32,4,0.592,0.9,9,-8.826,0,0.0524,0.0755,0.467,96.02,"The War To End All Wars (History Edition)"
"Hellfighters - History Edition",2022-03-25,236000,0,31,5,0.559,0.958,7,-6.885,1,0.0992,0.00134,0.219,96.121,"The War To End All Wars (History Edition)"
"Race To The Sea - History Edition",2022-03-25,235120,0,31,6,0.509,0.933,7,-6.697,0,0.036,0.0344,0.51,91.992,"The War To End All Wars (History Edition)"
"Lady Of The Dark - History Edition",2022-03-25,222216,0,31,7,0.552,0.961,11,-6.909,0,0.102,0.00904,0.385,108.99,"The War To End All Wars (History Edition)"
"The Valley Of Death - History Edition",2022-03-25,275328,0,30,8,0.458,0.972,6,-6.167,0,0.176,0.0039,0.399,155.983,"The War To End All Wars (History Edition)"
"Christmas Truce - History Edition",2022-03-25,329000,0,30,9,0.467,0.939,9,-6.956,0,0.0454,0.0065,0.157,92.965,"The War To End All Wars (History Edition)"
"Versailles - History Edition",2022-03-25,254000,0,29,10,0.334,0.885,7,-7.245,0,0.0606,0.0741,0.42,164.056,"The War To End All Wars (History Edition)"
Stormtroopers,2022-03-04,236000,0,62,0,0.515,0.992,7,-6.32,1,0.08,0.0011,0.112,122.017,"The War to End All Wars"
Dreadnought,2022-03-04,298000,0,53,1,0.549,0.914,6,-7.294,0,0.032,0.00762,0.347,94.028,"The War to End All Wars"
"The Unkillable Soldier",2022-03-04,251000,0,54,2,0.443,0.933,6,-7.018,0,0.0463,0.0051,0.517,154.055,"The War to End All Wars"
"Soldier of Heaven",2022-03-04,218000,0,60,3,0.54,0.922,9,-8.346,0,0.0465,0.0271,0.564,96.032,"The War to End All Wars"
Hellfighters,2022-03-04,206000,0,49,4,0.555,0.967,7,-6.438,1,0.07,0.000445,0.307,96.018,"The War to End All Wars"
"Race to the Sea",2022-03-04,227000,0,53,5,0.498,0.94,7,-6.592,0,0.0348,0.0227,0.511,92.006,"The War to End All Wars"
"Lady of the Dark",2022-03-04,183000,0,56,6,0.552,0.98,2,-6.398,1,0.0704,0.00429,0.485,109.005,"The War to End All Wars"
"The Valley of Death",2022-03-04,253000,0,46,7,0.45,0.972,6,-5.872,0,0.108,0.00182,0.352,156.052,"The War to End All Wars"
"Christmas Truce",2022-03-04,318000,0,44,8,0.327,0.94,9,-6.778,0,0.0637,0.00472,0.223,185.977,"The War to End All Wars"
Versailles,2022-03-04,254000,0,42,9,0.388,0.884,7,-7.243,0,0.0556,0.0787,0.406,82.032,"The War to End All Wars"
"Ghost Division - Live in Prague, 2020",2021-12-01,373000,0,27,0,0.379,0.854,2,-11.692,1,0.0704,0.000108,0.0393,93.009,"The Great Show (The Great Tour Live In Prague, 2020)"
"Great War - Live in Prague, 2020",2021-12-01,269000,0,26,1,0.499,0.906,1,-10.55,1,0.048,0.0000203,0.157,104.99,"The Great Show (The Great Tour Live In Prague, 2020)"
"The Attack Of The Dead Men - Live in Prague, 2020",2021-12-01,386000,0,26,2,0.366,0.891,5,-11.753,0,0.103,0.00173,0.0812,116.01,"The Great Show (The Great Tour Live In Prague, 2020)"
"Seven Pillars Of Wisdom - Live in Prague, 2020",2021-12-01,218000,0,24,3,0.445,0.909,7,-10.769,1,0.0956,0.000236,0.187,76.006,"The Great Show (The Great Tour Live In Prague, 2020)"
